,Unnamed: 0,NLC,Origin TLC,Station Name,Government Office Region (GOR),County or Unitary Authority,District or Unitary Authority,NUTS2 Spatial_Unit Code,NUTS2 Spatial Unit,Station Facility Owner,Station Group,PTE Urban Area Station,London Travelcard Area,Entries Full,Entries Reduced,Entries Season,Entries Total,Exits Full,Exits Reduced,Exits Season,Exits Total,1112 Entries & Exits,"1011
Entries & Exits",Interchanges,Large station Flag,Small Station Flag,Explanation of large change,Sources,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30
97,97,5004.0,AFK,Ashford International,South East,Kent,Ashford,UKJ4,Kent,Southeastern,,,," 286,034 "," 625,616 "," 743,767 "," 1,655,417 "," 286,034 "," 625,616 "," 743,767 "," 1,655,417 "," 3,310,834 "," 3,123,070 "," 753,880 ",0.0,0.0,,,,,,
98,98,2850.0,ASY,Ashley,North West,Cheshire,Macclesfield,UKD2,Cheshire,Northern Rail,,,," 1,060 "," 1,488 ", 790 ," 3,338 "," 1,060 "," 1,488 ", 790 ," 3,338 "," 6,676 "," 5,478 ",  ,0.0,0.0,,,,,,
99,99,5347.0,AHD,Ashtead,South East,Surrey,Mole Valley,UKJ2,"Surrey, East & West Sussex",Southern,,,," 153,832 "," 157,400 "," 277,052 "," 588,284 "," 153,832 "," 157,400 "," 277,052 "," 588,284 "," 1,176,568 "," 1,095,148 ",  ,0.0,0.0,,,,,,
100,100,2790.0,AHN,Ashton-Under-Lyne,North West,Greater Manchester,Tameside,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 39,465 "," 162,321 "," 88,895 "," 290,681 "," 39,465 "," 162,321 "," 88,895 "," 290,681 "," 581,362 "," 519,126 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
102,102,5906.0,ANF,Ashurst New Forest,South East,Hampshire,New Forest,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 14,001 "," 15,273 "," 22,547 "," 51,821 "," 14,001 "," 15,273 "," 22,547 "," 51,821 "," 103,642 "," 101,108 ",  ,0.0,0.0,,,,,,
104,104,1953.0,ASK,Askam,North West,Cumbria,Barrow-In-Furness,UKD1,Cumbria,Northern Rail,,,," 19,932 ", 611 ," 10,762 "," 31,305 "," 19,932 ", 611 ," 10,762 "," 31,305 "," 62,610 "," 59,936 ",  ,0.0,0.0,,,,,,
105,105,6233.0,ALK,Aslockton,East Midlands,Nottinghamshire,Rushcliffe,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,," 3,498 "," 2,568 "," 1,890 "," 7,956 "," 3,498 "," 2,568 "," 1,890 "," 7,956 "," 15,912 "," 14,644 ",  ,0.0,0.0,,,,,,
106,106,2095.0,ASP,Aspatria,North West,Cumbria,Allerdale,UKD1,Cumbria,Northern Rail,,,," 9,516 "," 2,765 "," 2,758 "," 15,039 "," 9,516 "," 2,765 "," 2,758 "," 15,039 "," 30,078 "," 30,734 ",  ,0.0,0.0,,,,,,
107,107,1380.0,APG,Aspley Guise,East,Bedfordshire,Mid Bedfordshire,UKH2,Bedfordshire and Hertforshire,London Midland Trains,,,," 1,348 "," 2,682 "," 2,192 "," 6,222 "," 1,348 "," 2,682 "," 2,192 "," 6,222 "," 12,444 "," 13,646 ",  ,0.0,0.0,,,,,,
108,108,1004.0,AST,Aston,West Midlands,West Midlands,Birmingham,UKG3,West Midlands,London Midland Trains,,West Midlands,," 43,072 "," 86,119 "," 93,391 "," 222,582 "," 43,072 "," 86,119 "," 93,391 "," 222,582 "," 445,164 "," 336,266 "," 48,244 ",1.0,0.0,"Main portion of increase due to improved demand estimation in Centro area (extra 94,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,,,
109,109,1074.0,ATH,Atherstone,West Midlands,Warwickshire,North Warwickshire,UKG1,"Herefordshire, Worcestershire and Warwickshire",London Midland Trains,,West Midlands,," 20,537 "," 12,670 "," 5,575 "," 38,782 "," 20,537 "," 12,670 "," 5,575 "," 38,782 "," 77,564 "," 65,340 ",  ,1.0,0.0,Continues build up of traffic due to new regular service (started Dec 2008),,,,,
110,110,2584.0,ATN,Atherton,North West,Greater Manchester,Wigan,UKD3,Greater Manchester,Northern Rail,,Greater Manchester,," 35,034 "," 89,178 "," 87,817 "," 212,029 "," 35,034 "," 89,178 "," 87,817 "," 212,029 "," 424,058 "," 410,512 ",  ,0.0,0.0,,,,,,
111,111,8608.0,ATT,Attadale,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,, 407 , 77 , -   , 484 , 407 , 77 , -   , 484 , 968 , 526 ,  ,0.0,1.0,Very small absolute number of entries and exits,,,,,
112,112,1624.0,ATB,Attenborough,East Midlands,Nottinghamshire,Broxtowe,UKF1,Derbyshire and Nottinghamshire,East Midlands Trains,,,," 25,871 "," 4,071 "," 9,957 "," 39,899 "," 25,871 "," 4,071 "," 9,957 "," 39,899 "," 79,798 "," 66,038 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
113,113,7367.0,ATL,Attleborough,East,Norfolk,Breckland,UKH1,East Anglia,National Express East Anglia,,,," 28,057 "," 39,078 "," 18,374 "," 85,509 "," 28,057 "," 39,078 "," 18,374 "," 85,509 "," 171,018 "," 161,610 ",  ,0.0,0.0,,,,,,
114,114,9457.0,AUK,Auchinleck,Scotland,East Ayrshire,East Ayrshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 10,797 "," 11,107 "," 5,980 "," 27,884 "," 10,797 "," 11,107 "," 5,980 "," 27,884 "," 55,768 "," 48,584 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
115,115,7017.0,AUD,Audley End,East,Essex,Uttlesford,UKH3,Essex,National Express East Anglia,,,," 77,126 "," 106,518 "," 191,953 "," 375,597 "," 77,126 "," 106,518 "," 191,953 "," 375,597 "," 751,194 "," 746,746 "," 5,392 ",0.0,0.0,,,,,,
116,116,2215.0,AUG,Aughton Park,North West,Lancashire,West Lancashire,UKD4,Lancashire,Merseyrail,,,," 21,111 "," 1,408 "," 16,746 "," 39,265 "," 21,111 "," 1,408 "," 16,746 "," 39,265 "," 78,530 "," 96,224 ",  ,1.0,0.0,Likley to result from changing ticket purchase patterns not captured by current PTE infil methodology,,,,,
117,117,8610.0,AVM,Aviemore,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,," 27,008 "," 37,608 "," 1,410 "," 66,026 "," 27,008 "," 37,608 "," 1,410 "," 66,026 "," 132,052 "," 132,336 ", 14 ,0.0,0.0,,,,,,
118,118,3265.0,AVF,Avoncliff,South West,Wiltshire,West Wiltshire,UKK1,"Gloucestershire, Wiltshire and North Somerset",First Great Western,,,," 4,295 "," 4,080 ", 758 ," 9,133 "," 4,295 "," 4,080 ", 758 ," 9,133 "," 18,266 "," 19,650 ",  ,0.0,0.0,,,,,,
119,119,3200.0,AVN,Avonmouth,South West,Bristol City Of,Bristol City Of,UKK1,"Gloucestershire, Wiltshire and North Somerset",First Great Western,,,," 30,085 "," 3,076 "," 11,160 "," 44,321 "," 30,085 "," 3,076 "," 11,160 "," 44,321 "," 88,642 "," 83,674 ",  ,0.0,0.0,,,,,,
120,120,5714.0,AXM,Axminster,South West,Devon,East Devon,UKK4,Devon,South West Trains,,,," 20,725 "," 108,684 "," 10,393 "," 139,802 "," 20,725 "," 108,684 "," 10,393 "," 139,802 "," 279,604 "," 252,662 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
121,121,1492.0,AYS,Aylesbury,South East,Buckinghamshire,Aylesbury Vale,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",Chiltern Railways,,,," 164,231 "," 164,348 "," 201,680 "," 530,259 "," 164,231 "," 164,348 "," 201,680 "," 530,259 "," 1,060,518 "," 1,067,280 "," 2,638 ",0.0,0.0,,,,,,
122,122,1090.0,AVP,Aylesbury Vale Parkway,South East,Buckinghamshire,Aylesbury Vale,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",Chiltern Railways,,,," 7,786 "," 9,783 "," 18,996 "," 36,565 "," 7,786 "," 9,783 "," 18,996 "," 36,565 "," 73,130 "," 55,864 ",  ,1.0,0.0,Station opened in 2008 with strong growth seen since then although recent growth exceptional,http://en.wikipedia.org/wiki/Aylesbury_Vale_Parkway_railway_station,,,,
123,123,5162.0,AYL,Aylesford,South East,Kent,Tonbridge And Malling,UKJ4,Kent,Southeastern,,,," 16,418 "," 13,978 "," 19,066 "," 49,462 "," 16,418 "," 13,978 "," 19,066 "," 49,462 "," 98,924 "," 96,396 ",  ,0.0,0.0,,,,,,
124,124,5197.0,AYH,Aylesham,South East,Kent,Dover,UKJ4,Kent,Southeastern,,,," 10,299 "," 15,496 "," 9,883 "," 35,678 "," 10,299 "," 15,496 "," 9,883 "," 35,678 "," 71,356 "," 72,766 ",  ,0.0,0.0,,,,,,
125,125,9463.0,AYR,Ayr,Scotland,South Ayrshire,South Ayrshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 267,898 "," 302,668 "," 191,143 "," 761,709 "," 267,898 "," 302,668 "," 191,143 "," 761,709 "," 1,523,418 "," 1,513,874 "," 41,716 ",0.0,0.0,,,,,,
126,126,2187.0,BAC,Bache,North West,Cheshire,Chester,UKD2,Cheshire,Merseyrail,,,," 82,089 "," 5,537 "," 8,272 "," 95,898 "," 82,089 "," 5,537 "," 8,272 "," 95,898 "," 191,796 "," 197,178 ",  ,0.0,0.0,,,,,,
127,127,4186.0,BAJ,Baglan,Wales - Cymru,Neath Port Talbot - Castell-Nedd Port Talbot,Neath Port Talbot - Castell-Nedd Port Talbot,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 4,548 "," 2,056 "," 3,215 "," 9,819 "," 4,548 "," 2,056 "," 3,215 "," 9,819 "," 19,638 "," 17,642 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
128,128,5681.0,BAG,Bagshot,South East,Surrey,Surrey Heath,UKJ2,"Surrey, East & West Sussex",South West Trains,,,," 30,349 "," 21,612 "," 22,743 "," 74,704 "," 30,349 "," 21,612 "," 22,743 "," 74,704 "," 149,408 "," 145,444 ",  ,0.0,0.0,,,,,,
129,129,8552.0,BLD,Baildon,Yorkshire And The Humber,West Yorkshire,Bradford,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,," 40,514 "," 34,072 "," 35,562 "," 110,148 "," 40,514 "," 34,072 "," 35,562 "," 110,148 "," 220,296 "," 221,770 ",  ,0.0,0.0,,,,,,
130,130,9763.0,BIO,Baillieston,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 20,454 "," 16,992 "," 17,132 "," 54,578 "," 20,454 "," 16,992 "," 17,132 "," 54,578 "," 109,156 "," 97,056 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
131,131,5492.0,BAB,Balcombe,South East,West Sussex,Mid Sussex,UKJ2,"Surrey, East & West Sussex",Southern,,,," 11,279 "," 20,760 "," 28,952 "," 60,991 "," 11,279 "," 20,760 "," 28,952 "," 60,991 "," 121,982 "," 118,202 ",  ,0.0,0.0,,,,,,
132,132,6084.0,BDK,Baldock,East,Hertfordshire,North Hertfordshire,UKH2,Bedfordshire and Hertforshire,First Capital Connect,,,," 75,459 "," 83,452 "," 99,607 "," 258,518 "," 75,459 "," 83,452 "," 99,607 "," 258,518 "," 517,036 "," 496,896 ",  ,0.0,0.0,,,,,,
133,133,5399.0,BAL,Balham,London,Greater London,Wandsworth,UKI1,Inner London,Southern,,,London Travelcard Area Station," 646,276 "," 821,093 "," 1,764,622 "," 3,231,991 "," 646,276 "," 821,093 "," 1,764,622 "," 3,231,991 "," 6,463,982 "," 5,935,140 "," 383,630 ",0.0,0.0,,,,,,
134,134,9862.0,BHC,Balloch,Scotland,West Dunbartonshire,West Dunbartonshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 80,005 "," 105,822 "," 90,629 "," 276,456 "," 80,005 "," 105,822 "," 90,629 "," 276,456 "," 552,912 "," 546,924 ",  ,0.0,0.0,,,,,,
135,135,9013.0,BSI,Balmossie,Scotland,Angus,Angus,UKM2,Eastern Scotland,First ScotRail,,,, 48 , 19 , 90 , 157 , 48 , 19 , 90 , 157 , 314 , 362 ,  ,0.0,0.0,,,,,,
136,136,2561.0,BMB,Bamber Bridge,North West,Lancashire,South Ribble,UKD4,Lancashire,Northern Rail,,,," 27,779 "," 6,248 "," 7,412 "," 41,439 "," 27,779 "," 6,248 "," 7,412 "," 41,439 "," 82,878 "," 77,160 ",  ,0.0,0.0,,,,,,
137,137,2820.0,BAM,Bamford,East Midlands,Derbyshire,High Peak,UKF1,Derbyshire and Nottinghamshire,Northern Rail,,,," 6,176 "," 5,816 ", 533 ," 12,525 "," 6,176 "," 5,816 ", 533 ," 12,525 "," 25,050 "," 25,656 ",  ,0.0,0.0,,,,,,
138,138,8839.0,BNV,Banavie,Scotland,Highland,Highland,UKM4,Highlands and Islands,First ScotRail,,,," 1,674 ", 990 , -   ," 2,664 "," 1,674 ", 990 , -   ," 2,664 "," 5,328 "," 5,056 ",  ,0.0,0.0,,,,,,
139,139,4502.0,BAN,Banbury,South East,Oxfordshire,Cherwell,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",Chiltern Railways,,,," 229,809 "," 455,129 "," 286,257 "," 971,195 "," 229,809 "," 455,129 "," 286,257 "," 971,195 "," 1,942,390 "," 1,857,004 "," 316,954 ",0.0,0.0,,,,,,
140,140,2471.0,BNG,Bangor (Gwynedd),Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 100,544 "," 209,097 "," 28,788 "," 338,429 "," 100,544 "," 209,097 "," 28,788 "," 338,429 "," 676,858 "," 633,664 "," 1,487 ",0.0,0.0,,,,,,
141,141,2238.0,BAH,Bank Hall,North West,Merseyside,Liverpool,UKD5,Merseyside,Merseyrail,,Merseyside,," 25,827 "," 38,804 "," 22,709 "," 87,340 "," 25,827 "," 38,804 "," 22,709 "," 87,340 "," 174,680 "," 172,426 ",  ,0.0,0.0,,,,,,
142,142,5348.0,BAD,Banstead,South East,Surrey,Reigate And Banstead,UKJ2,"Surrey, East & West Sussex",Southern,,,London Travelcard Area Station," 19,363 "," 11,446 "," 33,265 "," 64,074 "," 19,363 "," 11,446 "," 33,265 "," 64,074 "," 128,148 "," 115,680 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
143,143,9466.0,BSS,Barassie,Scotland,South Ayrshire,South Ayrshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 24,792 "," 20,966 "," 25,496 "," 71,254 "," 24,792 "," 20,966 "," 25,496 "," 71,254 "," 142,508 "," 137,708 ",  ,0.0,0.0,,,,,,
144,144,7563.0,BLL,Bardon Mill,North East,Northumberland,Tynedale,UKC2,Northumberland and Tyne and Wear,Northern Rail,,,," 1,490 "," 1,720 "," 1,328 "," 4,538 "," 1,490 "," 1,720 "," 1,328 "," 4,538 "," 9,076 "," 6,452 ",  ,0.0,1.0,Continues high growth from previous year,,,,,
145,145,2690.0,BAR,Bare Lane,North West,Lancashire,Lancaster,UKD4,Lancashire,Northern Rail,,,," 49,503 "," 5,273 "," 15,824 "," 70,600 "," 49,503 "," 5,273 "," 15,824 "," 70,600 "," 141,200 "," 137,856 ",  ,0.0,0.0,,,,,,
146,146,9764.0,BGI,Bargeddie,Scotland,North Lanarkshire,North Lanarkshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 15,121 "," 14,203 "," 20,380 "," 49,704 "," 15,121 "," 14,203 "," 20,380 "," 49,704 "," 99,408 "," 89,916 ",  ,1.0,0.0,Cause of large increase not clear,,,,,
147,147,4011.0,BGD,Bargoed,Wales - Cymru,Caerphilly - Caerffili,Caerphilly - Caerffili,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 56,984 "," 7,585 "," 20,928 "," 85,497 "," 56,984 "," 7,585 "," 20,928 "," 85,497 "," 170,994 "," 168,108 ",  ,0.0,0.0,,,,,,
148,148,7492.0,BKG,Barking,London,Greater London,Barking And Dagenham,UKI2,Outer London,c2c,,,London Travelcard Area Station," 963,009 "," 1,389,319 "," 1,361,423 "," 3,713,751 "," 963,009 "," 1,389,319 "," 1,361,423 "," 3,713,751 "," 7,427,502 "," 6,515,606 "," 406,719 ",1.0,0.0,Cause of large increase not clear,,,,,
149,149,5133.0,BMG,Barming,South East,Kent,Tonbridge And Malling,UKJ4,Kent,Southeastern,,,," 14,640 "," 17,140 "," 31,712 "," 63,492 "," 14,640 "," 17,140 "," 31,712 "," 63,492 "," 126,984 "," 123,140 ",  ,0.0,0.0,,,,,,
150,150,4445.0,BRM,Barmouth,Wales - Cymru,Gwynedd - Gwynedd,Gwynedd - Gwynedd,UKL1,West Wales and the Valleys,Arriva Trains Wales,,,," 50,933 "," 24,547 "," 11,401 "," 86,881 "," 50,933 "," 24,547 "," 11,401 "," 86,881 "," 173,762 "," 167,268 ",  ,0.0,0.0,,,,,,
151,151,5089.0,BNH,Barnehurst,London,Greater London,Bexley,UKI2,Outer London,Southeastern,,,London Travelcard Area Station," 112,047 "," 149,267 "," 533,698 "," 795,012 "," 112,047 "," 149,267 "," 533,698 "," 795,012 "," 1,590,024 "," 1,586,718 ",  ,0.0,0.0,,,,,,
152,152,5551.0,BNS,Barnes,London,Greater London,Richmond Upon Thames,UKI2,Outer London,South West Trains,,,London Travelcard Area Station," 227,729 "," 228,730 "," 501,790 "," 958,249 "," 227,729 "," 228,730 "," 501,790 "," 958,249 "," 1,916,498 "," 1,807,348 "," 17,188 ",0.0,0.0,,,,,,
153,153,5580.0,BNI,Barnes Bridge,London,Greater London,Richmond Upon Thames,UKI2,Outer London,South West Trains,,,London Travelcard Area Station," 99,328 "," 84,603 "," 129,073 "," 313,004 "," 99,328 "," 84,603 "," 129,073 "," 313,004 "," 626,008 "," 580,988 ",  ,0.0,0.0,,,,,,
154,154,6406.0,BTB,Barnetby,Yorkshire And The Humber,North Lincolnshire,North Lincolnshire,UKE1,East Riding and North Linconshire,First TransPennine Express,,,," 6,848 "," 22,723 "," 4,747 "," 34,318 "," 6,848 "," 22,723 "," 4,747 "," 34,318 "," 68,636 "," 61,526 "," 3,100 ",1.0,0.0,Continues high growth from previous year,,,,,
155,155,5252.0,BAA,Barnham,South East,West Sussex,Arun,UKJ2,"Surrey, East & West Sussex",Southern,,,," 83,024 "," 169,496 "," 243,125 "," 495,645 "," 83,024 "," 169,496 "," 243,125 "," 495,645 "," 991,290 "," 983,110 "," 865,441 ",0.0,0.0,,,,,,
156,156,9973.0,BNL,Barnhill,Scotland,Glasgow City,Glasgow City,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 13,849 "," 11,025 "," 5,558 "," 30,432 "," 13,849 "," 11,025 "," 5,558 "," 30,432 "," 60,864 "," 58,932 ",  ,0.0,0.0,,,,,,
157,157,6774.0,BNY,Barnsley,Yorkshire And The Humber,South Yorkshire,Barnsley,UKE3,South Yorkshire,Northern Rail,,South Yorkshire,," 198,691 "," 287,449 "," 237,819 "," 723,959 "," 198,691 "," 287,449 "," 237,819 "," 723,959 "," 1,447,918 "," 1,393,954 "," 17,824 ",0.0,0.0,,,,,,
158,158,5725.0,BNP,Barnstaple,South West,Devon,North Devon,UKK4,Devon,First Great Western,,,," 10,438 "," 167,358 "," 8,423 "," 186,219 "," 10,438 "," 167,358 "," 8,423 "," 186,219 "," 372,438 "," 342,328 ",  ,0.0,0.0,,,,,,
159,159,1096.0,BTG,Barnt Green,West Midlands,Worcestershire,Bromsgrove,UKG1,"Herefordshire, Worcestershire and Warwickshire",London Midland Trains,,West Midlands,," 43,040 "," 29,045 "," 55,970 "," 128,055 "," 43,040 "," 29,045 "," 55,970 "," 128,055 "," 256,110 "," 231,346 "," 31,951 ",1.0,0.0,"Main portion of increase due to improved demand estimation in Centro area (extra 18,000 entries and exits in Centro infill compared to what would have been estimated using previous methodology)",,,,,
160,160,9674.0,BRR,Barrhead,Scotland,East Renfrewshire,East Renfrewshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 105,037 "," 85,663 "," 133,623 "," 324,323 "," 105,037 "," 85,663 "," 133,623 "," 324,323 "," 648,646 "," 616,386 ",  ,0.0,0.0,,,,,,
161,161,9467.0,BRL,Barrhill,Scotland,South Ayrshire,South Ayrshire,UKM3,South Western Scotland,First ScotRail,,Strathclyde,," 1,543 ", 878 , 224 ," 2,645 "," 1,543 ", 878 , 224 ," 2,645 "," 5,290 "," 4,804 ",  ,0.0,0.0,,,,,,
162,162,6212.0,BAV,Barrow Haven,Yorkshire And The Humber,North Lincolnshire,North Lincolnshire,UKE1,East Riding and North Linconshire,Northern Rail,,,, 674 , 194 , 20 , 888 , 674 , 194 , 20 , 888 ," 1,776 "," 1,906 ",  ,0.0,0.0,,,,,,
163,163,1954.0,BIF,Barrow-In-Furness,North West,Cumbria,Barrow-In-Furness,UKD1,Cumbria,First TransPennine Express,,,," 142,858 "," 88,524 "," 49,966 "," 281,348 "," 142,858 "," 88,524 "," 49,966 "," 281,348 "," 562,696 "," 597,972 "," 17,119 ",0.0,0.0,,,,,,
164,164,1903.0,BWS,Barrow-Upon-Soar,East Midlands,Leicestershire,Charnwood,UKF2,"Leicestershire, Rutland and Northamptonshire",East Midlands Trains,,,," 10,412 "," 12,333 "," 14,930 "," 37,675 "," 10,412 "," 12,333 "," 14,930 "," 37,675 "," 75,350 "," 71,362 ",  ,0.0,0.0,,,,,,
165,165,3805.0,BRY,Barry,Wales - Cymru,The Vale Of Glamorgan - Bro Morgannwg,The Vale Of Glamorgan - Bro Morgannwg,UKL2,East Wales,Arriva Trains Wales,,,," 163,934 "," 12,437 "," 76,765 "," 253,136 "," 163,934 "," 12,437 "," 76,765 "," 253,136 "," 506,272 "," 503,634 ",  ,0.0,0.0,,,,,,
166,166,3806.0,BYD,Barry Docks,Wales - Cymru,The Vale Of Glamorgan - Bro Morgannwg,The Vale Of Glamorgan - Bro Morgannwg,UKL2,East Wales,Arriva Trains Wales,,,," 65,959 "," 3,059 "," 19,158 "," 88,176 "," 65,959 "," 3,059 "," 19,158 "," 88,176 "," 176,352 "," 148,754 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
167,167,3807.0,BYI,Barry Island,Wales - Cymru,The Vale Of Glamorgan - Bro Morgannwg,The Vale Of Glamorgan - Bro Morgannwg,UKL2,East Wales,Arriva Trains Wales,,,," 173,090 "," 25,175 "," 110,341 "," 308,606 "," 173,090 "," 25,175 "," 110,341 "," 308,606 "," 617,212 "," 618,346 ",  ,0.0,0.0,,,,,,
168,168,9020.0,BYL,Barry Links,Scotland,Angus,Angus,UKM2,Eastern Scotland,First ScotRail,,,, 42 , 1 , -   , 43 , 42 , 1 , -   , 43 , 86 , 74 ,  ,0.0,0.0,,,,,,
169,169,6207.0,BAU,Barton-On-Humber,Yorkshire And The Humber,North Lincolnshire,North Lincolnshire,UKE1,East Riding and North Linconshire,Northern Rail,,,," 19,422 "," 2,852 "," 1,575 "," 23,849 "," 19,422 "," 2,852 "," 1,575 "," 23,849 "," 47,698 "," 46,088 ",  ,0.0,0.0,,,,,,
170,170,7494.0,BSO,Basildon,East,Essex,Basildon,UKH3,Essex,c2c,,,," 387,340 "," 343,480 "," 579,939 "," 1,310,759 "," 387,340 "," 343,480 "," 579,939 "," 1,310,759 "," 2,621,518 "," 2,486,796 ",  ,0.0,0.0,,,,,,
171,171,5520.0,BSK,Basingstoke,South East,Hampshire,Basingstoke And Deane,UKJ3,Hampshire and Isle of Wight,South West Trains,,,," 561,710 "," 1,023,422 "," 1,007,333 "," 2,592,465 "," 561,710 "," 1,023,422 "," 1,007,333 "," 2,592,465 "," 5,184,930 "," 4,903,644 "," 823,836 ",0.0,0.0,,,,,,
173,173,3271.0,BTH,Bath Spa,South West,Bath And North East Somerset,Bath And North East Somerset,UKK1,"Gloucestershire, Wiltshire and North Somerset",First Great Western,,,," 525,279 "," 1,769,915 "," 545,412 "," 2,840,606 "," 525,279 "," 1,769,915 "," 545,412 "," 2,840,606 "," 5,681,212 "," 5,217,954 "," 178,949 ",0.0,0.0,,,,,,
174,174,9311.0,BHG,Bathgate,Scotland,West Lothian,West Lothian,UKM2,Eastern Scotland,First ScotRail,,,," 167,793 "," 152,198 "," 115,510 "," 435,501 "," 167,793 "," 152,198 "," 115,510 "," 435,501 "," 871,002 "," 704,346 ",  ,1.0,0.0,Demand increase from opening of the Airdrie-Bathgate line,,,,,
175,175,8484.0,BTL,Batley,Yorkshire And The Humber,West Yorkshire,Kirklees,UKE4,West Yorkshire,Northern Rail,,West Yorkshire,," 39,046 "," 43,216 "," 56,120 "," 138,382 "," 39,046 "," 43,216 "," 56,120 "," 138,382 "," 276,764 "," 272,638 ",  ,0.0,0.0,,,,,,
176,176,7909.0,BTT,Battersby,Yorkshire And The Humber,North Yorkshire,Hambleton,UKE2,North Yorkshire,Northern Rail,,,, 631 , 121 , -   , 752 , 631 , 121 , -   , 752 ," 1,504 "," 1,476 ",  ,0.0,0.0,,,,,,
177,177,5420.0,BAK,Battersea Park,London,Greater London,Wandsworth,UKI1,Inner London,Southern,,,London Travelcard Area Station," 208,239 "," 275,512 "," 751,202 "," 1,234,953 "," 208,239 "," 275,512 "," 751,202 "," 1,234,953 "," 2,469,906 "," 2,297,250 "," 95,771 ",0.0,0.0,,,,,,
178,178,5215.0,BAT,Battle,South East,East Sussex,Rother,UKJ2,"Surrey, East & West Sussex",Southeastern,,,," 47,886 "," 110,622 "," 57,196 "," 215,704 "," 47,886 "," 110,622 "," 57,196 "," 215,704 "," 431,408 "," 521,774 ",  ,1.0,0.0,Cause of large decrease not clear,,,,,
179,179,6870.0,BLB,Battlesbridge,East,Essex,Chelmsford,UKH3,Essex,National Express East Anglia,,,," 1,650 "," 1,596 "," 2,677 "," 5,923 "," 1,650 "," 1,596 "," 2,677 "," 5,923 "," 11,846 "," 10,722 ",  ,1.0,0.0,Continues high growth from previous year,,,,,
180,180,6006.0,BAY,Bayford,East,Hertfordshire,East Hertfordshire,UKH2,Bedfordshire and Hertforshire,First Capital Connect,,,," 6,717 "," 5,938 "," 6,997 "," 19,652 "," 6,717 "," 5,938 "," 6,997 "," 19,652 "," 39,304 "," 36,406 ",  ,0.0,0.0,,,,,,
181,181,3047.0,BCF,Beaconsfield,South East,Buckinghamshire,South Bucks,UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",Chiltern Railways,,,," 199,747 "," 158,888 "," 328,566 "," 687,201 "," 199,747 "," 158,888 "," 328,566 "," 687,201 "," 1,374,402 "," 1,320,232 ",  ,0.0,0.0,,,,,,
182,182,2420.0,BER,Bearley,West Midlands,Warwickshire,Stratford-On-Avon,UKG1,"Herefordshire, Worcestershire and Warwickshire",London Midland Trains,,,, 289 , 181 , 10 , 480 , 289 , 181 , 10 , 480 , 960 , 944 ,  ,0.0,0.0,,,,,,
